identifier	lang_code	language	n_transcribed	dom_script	ipa_density	ipa_char_ratio	nonascii_ratio	americanist_ratio	transcription_system
rosettaproject_dei_swadesh-1	dei	Demisa	131	Latin	0.229	0.052	0.084	0.013	light_ipa
rosettaproject_dem_swadesh-1	dem	Dem	235	Latin	0.077	0.017	0.084	0.003	light_ipa
rosettaproject_deu_swadesh-1	deu	German, Standard	242	Latin	0.0	0.0	0.011	0.0	latin_diacritic
rosettaproject_dev_swadesh-1	dev	Domung	51	Latin	0.314	0.1	0.136	0.0	ipa_dense
rosettaproject_dge_swadesh-1	dge	Degenan	51	Latin	0.51	0.17	0.238	0.0	ipa_dense
rosettaproject_dgh_swadesh-1	dgh	Dghwede	69	Latin	0.652	0.226	0.464	0.0	ipa_dense
rosettaproject_dgz_swadesh-1	dgz	Daga	278	Latin	0.0	0.0	0.002	0.0	plain_ascii
rosettaproject_dhg_swadesh-1	dhg	Dhangu	634	Latin	0.293	0.054	0.165	0.0	ipa_dense
rosettaproject_dhu_swadesh-1	dhu	Dhurga	120	Latin	0.392	0.097	0.16	0.0	ipa_dense
rosettaproject_dia_swadesh-1	dia	Dia	126	Latin	0.206	0.048	0.103	0.0	light_ipa
rosettaproject_dif_swadesh-1	dif	Dieri	331	Latin	0.429	0.137	0.269	0.0	ipa_dense
rosettaproject_dih_swadesh-1	dih	Kumiai	13	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_dim_swadesh-1	dim	Dime	115	Latin	0.826	0.245	0.283	0.045	ipa_dense
rosettaproject_djb_swadesh-1	djb	Djinba	236	Latin	0.369	0.08	0.175	0.0	ipa_dense
rosettaproject_djd_swadesh-1	djd	Djamindjung	99	Latin	0.323	0.068	0.123	0.0	ipa_dense
rosettaproject_dje_swadesh-1	dje	Zarma	243	Latin	0.309	0.096	0.127	0.004	ipa_dense
rosettaproject_dji_swadesh-1	dji	Djinang	395	Latin	0.514	0.116	0.216	0.0	ipa_dense
rosettaproject_djj_swadesh-1	djj	Djeebbana	548	Latin	0.526	0.105	0.174	0.0	ipa_dense
rosettaproject_djn_swadesh-1	djn	Djauan	242	Latin	0.388	0.079	0.161	0.0	ipa_dense
rosettaproject_djr_swadesh-1	djr	Djambarrpuyngu	29	Latin	0.241	0.051	0.167	0.0	light_ipa
rosettaproject_dju_swadesh-1	dju	Kapriman	167	Latin	0.359	0.097	0.112	0.0	ipa_dense
rosettaproject_dmc_swadesh-1	dmc	Dimir	392	Latin	0.253	0.055	0.079	0.0	ipa_dense
rosettaproject_dmu_swadesh-1	dmu	Tebi	327	Latin	0.07	0.014	0.05	0.0	light_ipa
rosettaproject_dmy_swadesh-1	dmy	Sowari	450	Latin	0.016	0.003	0.023	0.001	latin_diacritic
rosettaproject_dna_swadesh-1	dna	Dani, Upper Grand Valley	67	Latin	0.075	0.019	0.054	0.0	light_ipa
rosettaproject_dnd_swadesh-1	dnd	Daonda	176	Latin	0.273	0.086	0.098	0.0	ipa_dense
rosettaproject_dni_swadesh-1	dni	Dani, Lower Grand Valley	285	Latin	0.333	0.101	0.099	0.003	ipa_dense
rosettaproject_dnr_swadesh-1	dnr	Danaru	374	Latin	0.275	0.075	0.115	0.0	ipa_dense
rosettaproject_dnt_swadesh-1	dnt	Dani, Mid Grand Valley	268	Latin	0.19	0.045	0.057	0.001	light_ipa
rosettaproject_dnw_swadesh-1	dnw	Dani, Western	642	Latin	0.268	0.061	0.08	0.001	ipa_dense
rosettaproject_doa_swadesh-1	doa	Dom	209	Latin	0.072	0.013	0.047	0.007	light_ipa
rosettaproject_dof_swadesh-1	dof	Domu	146	Latin	0.11	0.024	0.023	0.0	light_ipa
rosettaproject_dol_swadesh-1	dol	Doso	107	Latin	0.28	0.073	0.147	0.0	ipa_dense
rosettaproject_doo_swadesh-1	doo	Dongo	223	Latin	0.65	0.178	0.612	0.001	ipa_dense
rosettaproject_dox_swadesh-1	dox	Bussa	95	Latin	0.674	0.165	0.232	0.05	ipa_dense
rosettaproject_doz_swadesh-1	doz	Dorze	97	Latin	0.649	0.173	0.219	0.036	ipa_dense
rosettaproject_drl_swadesh-1	drl	Darling	370	Latin	0.335	0.067	0.181	0.0	ipa_dense
rosettaproject_drr_swadesh-1	drr	Dororo	18	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_dru_swadesh-1	dru	Rukai	183	Latin	0.415	0.124	0.233	0.0	ipa_dense
rosettaproject_dsh_swadesh-1	dsh	Daasanach	176	Latin	0.562	0.159	0.256	0.026	ipa_dense
rosettaproject_dsq_swadesh-1	dsq	Tadaksahak	175	Latin	0.909	0.434	0.465	0.0	ipa_dense
rosettaproject_duc_swadesh-1	duc	Duna	135	Latin	0.148	0.039	0.047	0.0	light_ipa
rosettaproject_duj_swadesh-1	duj	Dhuwal	551	Latin	0.359	0.067	0.197	0.0	ipa_dense
rosettaproject_duk_swadesh-1	duk	Duduela	356	Latin	0.258	0.078	0.087	0.002	ipa_dense
rosettaproject_duv_swadesh-1	duv	Duvle	388	Latin	0.24	0.076	0.119	0.001	light_ipa
rosettaproject_dyo_swadesh-1	dyo	Jola-Fonyi	368	Latin	0.736	0.208	0.392	0.027	ipa_dense
rosettaproject_dyy_swadesh-1	dyy	Dyaabugay	329	Latin	0.38	0.083	0.124	0.0	ipa_dense
rosettaproject_dzg_swadesh-1	dzg	Dazaga	325	Latin	0.714	0.242	0.345	0.027	ipa_dense
rosettaproject_eip_swadesh-1	eip	Eipomek	326	Latin	0.012	0.003	0.023	0.0	latin_diacritic
rosettaproject_eit_swadesh-1	eit	Eitiep	20	Latin	0.25	0.082	0.232	0.031	ipa_dense
rosettaproject_eiv_swadesh-1	eiv	Askopan	149	Latin	0.416	0.075	0.095	0.0	ipa_dense
rosettaproject_ekg_swadesh-1	ekg	Ekari	1230	Latin	0.123	0.026	0.033	0.001	light_ipa
rosettaproject_ele_swadesh-1	ele	Elepi	175	Latin	0.171	0.041	0.083	0.014	light_ipa
rosettaproject_eli_swadesh-1	eli	Nding	199	Latin	0.779	0.27	0.58	0.039	ipa_dense
rosettaproject_elk_swadesh-1	elk	Elkei	67	Latin	0.06	0.017	0.071	0.0	light_ipa
rosettaproject_ell_swadesh-1	ell	Greek	207	Greek	0.0	0.0	1.0	0.0	native:Greek
rosettaproject_ena_swadesh-1	ena	Apali	412	Latin	0.316	0.089	0.168	0.0	ipa_dense
rosettaproject_eng_swadesh-2	eng	rosettaproject_eng_swadesh-1	0		0.0	0.0	0.0	0.0	gloss_only
rosettaproject_enq_swadesh-1	enq	Enga	723	Latin	0.156	0.033	0.075	0.001	light_ipa
rosettaproject_enr_swadesh-1	enr	Emem	214	Latin	0.042	0.008	0.042	0.0	latin_diacritic
rosettaproject_epo_swadesh-1	epo	Esperanto	211	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_eri_swadesh-1	eri	Ogea	381	Latin	0.249	0.072	0.091	0.003	light_ipa
rosettaproject_ert_swadesh-1	ert	Eritai	250	Latin	0.156	0.03	0.032	0.004	light_ipa
rosettaproject_etr_swadesh-1	etr	Edolo	170	Latin	0.324	0.092	0.222	0.0	ipa_dense
rosettaproject_etz_swadesh-1	etz	Semimi	197	Latin	0.025	0.004	0.008	0.0	plain_ascii
rosettaproject_eus_swadesh-1	eus	Basque	174	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_faa_swadesh-1	faa	Fasu	397	Latin	0.068	0.014	0.028	0.0	light_ipa
rosettaproject_fad_swadesh-1	fad	Wagi	360	Latin	0.264	0.083	0.115	0.0	ipa_dense
rosettaproject_fag_swadesh-1	fag	Finongan	52	Latin	0.462	0.12	0.16	0.0	ipa_dense
rosettaproject_fai_swadesh-1	fai	Faiwol	119	Latin	0.084	0.019	0.027	0.0	light_ipa
rosettaproject_faj_swadesh-1	faj	Faita	321	Latin	0.206	0.056	0.113	0.0	light_ipa
rosettaproject_fao_swadesh-1	fao	Faroese	60	Latin	0.0	0.0	0.086	0.0	latin_diacritic
rosettaproject_fap_swadesh-1	fap	Palor	133	Latin	0.654	0.268	0.31	0.024	ipa_dense
rosettaproject_fau_swadesh-1	fau	Fayu	293	Latin	0.28	0.094	0.107	0.004	ipa_dense
rosettaproject_fgr_swadesh-1	fgr	Fongoro	50	Latin	0.62	0.214	0.259	0.0	ipa_dense
rosettaproject_fij_swadesh-1	fij	Fijian	184	Latin	0.049	0.013	0.139	0.0	latin_diacritic
rosettaproject_fin_swadesh-1	fin	Finnish	210	Latin	0.0	0.0	0.087	0.0	latin_diacritic
rosettaproject_flh_swadesh-1	flh	Foau	42	Latin	0.024	0.005	0.03	0.0	latin_diacritic
rosettaproject_foi_swadesh-1	foi	Foi	621	Latin	0.203	0.057	0.093	0.0	light_ipa
rosettaproject_for_swadesh-1	for	Fore	232	Latin	0.522	0.129	0.106	0.0	ipa_dense
rosettaproject_fqs_swadesh-1	fqs	Fas	322	Latin	0.348	0.104	0.193	0.0	ipa_dense
rosettaproject_fra_swadesh-3	fra	French	247	Latin	0.0	0.0	0.02	0.0	latin_diacritic
rosettaproject_fuc_swadesh-1	fuc	Pulaar	164	Latin	0.0	0.0	0.006	0.0	plain_ascii
rosettaproject_fuj_swadesh-1	fuj	Ko	298	Latin	0.691	0.252	0.641	0.032	ipa_dense
rosettaproject_fuv_swadesh-1	fuv	Fulfulde, Nigerian	133	Latin	0.774	0.159	0.363	0.023	ipa_dense
rosettaproject_fuy_swadesh-1	fuy	Fuyug	596	Latin	0.007	0.002	0.012	0.001	latin_diacritic
rosettaproject_fvr_swadesh-1	fvr	Fur	478	Latin	0.444	0.133	0.252	0.006	ipa_dense
rosettaproject_gaf_swadesh-1	gaf	Gende	351	Latin	0.011	0.002	0.018	0.005	latin_diacritic
rosettaproject_gag_swadesh-1	gag	Gagauz	200	Latin	0.0	0.0	0.116	0.0	latin_diacritic
rosettaproject_gah_swadesh-1	gah	Alekano	389	Latin	0.249	0.041	0.044	0.003	light_ipa
rosettaproject_gai_swadesh-1	gai	Mbore	101	Latin	0.02	0.004	0.064	0.0	latin_diacritic
rosettaproject_gao_swadesh-1	gao	Gants	7	Latin	0.0	0.0	0.045	0.0	latin_diacritic
rosettaproject_gap_swadesh-1	gap	Gal	350	Latin	0.254	0.09	0.096	0.0	ipa_dense
rosettaproject_gaw_swadesh-1	gaw	Nobonob	327	Latin	0.131	0.037	0.039	0.0	light_ipa
rosettaproject_gax_swadesh-1	gax	Oromo, Borana-Arsi-Guji	97	Latin	0.722	0.208	0.22	0.022	ipa_dense
rosettaproject_gaz_swadesh-1	gaz	Oromo, West Central	115	Latin	0.478	0.124	0.152	0.027	ipa_dense
rosettaproject_gbb_swadesh-1	gbb	Kaytetye	100	Latin	0.29	0.062	0.16	0.0	ipa_dense
rosettaproject_gbc_swadesh-1	gbc	Garawa	263	Latin	0.072	0.014	0.144	0.0	light_ipa
rosettaproject_gbd_swadesh-1	gbd	Karadjeri	108	Latin	0.509	0.114	0.183	0.0	ipa_dense
rosettaproject_gbe_swadesh-1	gbe	Niksek	310	Latin	0.716	0.217	0.198	0.0	ipa_dense
rosettaproject_gbi_swadesh-1	gbi	Galela	755	Latin	0.264	0.054	0.081	0.002	ipa_dense
rosettaproject_gbp_swadesh-1	gbp	Gbaya-Bossangoa	292	Latin	0.466	0.146	0.432	0.0	ipa_dense
rosettaproject_gbu_swadesh-1	gbu	Gagadu	514	Latin	0.385	0.09	0.122	0.0	ipa_dense
rosettaproject_gcn_swadesh-1	gcn	Gaina	14	Latin	0.071	0.014	0.071	0.0	light_ipa
rosettaproject_gdb_swadesh-1	gdb	Gadaba, Pottangi Ollar	74	Latin	0.0	0.0	0.162	0.0	latin_diacritic
rosettaproject_gdh_swadesh-1	gdh	Gadjerawang	16	Latin	0.562	0.13	0.321	0.0	ipa_dense
rosettaproject_gdl_swadesh-1	gdl	Dirasha	96	Latin	0.594	0.16	0.197	0.022	ipa_dense
rosettaproject_gdn_swadesh-1	gdn	Umanakaina	91	Latin	0.0	0.0	0.008	0.008	plain_ascii
rosettaproject_gdr_swadesh-1	gdr	Wipi	1232	Latin	0.534	0.164	0.198	0.016	ipa_dense
rosettaproject_geb_swadesh-1	geb	Kire	447	Latin	0.213	0.051	0.087	0.0	light_ipa
rosettaproject_gez_swadesh-1	gez	Geez	110	Latin	0.945	0.33	0.328	0.0	ipa_dense
rosettaproject_gft_swadesh-1	gft	Gafat	88	Latin	0.886	0.32	0.364	0.046	ipa_dense
rosettaproject_ggd_swadesh-1	ggd	Gugadj	94	Latin	0.5	0.131	0.227	0.0	ipa_dense
rosettaproject_gge_swadesh-1	gge	Guragone	272	Latin	0.665	0.144	0.223	0.0	ipa_dense
rosettaproject_ggk_swadesh-1	ggk	Kungarakany	253	Latin	0.34	0.066	0.13	0.0	ipa_dense
rosettaproject_ggl_swadesh-1	ggl	Ganglau	358	Latin	0.184	0.053	0.108	0.0	light_ipa
rosettaproject_ggw_swadesh-1	ggw	Gogodala	768	Latin	0.055	0.011	0.013	0.0	light_ipa
rosettaproject_ghs_swadesh-1	ghs	Guhu-Samane	63	Latin	0.397	0.109	0.108	0.0	ipa_dense
rosettaproject_gia_swadesh-1	gia	Kitja	28	Latin	0.571	0.126	0.207	0.0	ipa_dense
rosettaproject_gil_swadesh-1	gil	Kiribati	183	Latin	0.082	0.017	0.082	0.0	light_ipa
rosettaproject_gim_swadesh-1	gim	Gimi	171	Latin	0.363	0.073	0.06	0.0	ipa_dense
rosettaproject_gin_swadesh-1	gin	Hinukh	111	Latin	0.18	0.049	0.169	0.039	light_ipa
rosettaproject_gla_swadesh-1	gla	Gaelic, Scottish	263	Latin	0.0	0.0	0.045	0.0	latin_diacritic
rosettaproject_gle_swadesh-1	gle	Gaelic, Irish	211	Latin	0.0	0.0	0.062	0.0	latin_diacritic
rosettaproject_glg_swadesh-1	glg	Galician	212	Latin	0.0	0.0	0.027	0.0	latin_diacritic
rosettaproject_gli_swadesh-1	gli	Guliguli	41	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_gly_swadesh-1	gly	Gule	127	Latin	0.598	0.182	0.297	0.002	ipa_dense
rosettaproject_gma_swadesh-1	gma	Gambera	19	Latin	0.579	0.117	0.221	0.0	ipa_dense
rosettaproject_gmu_swadesh-1	gmu	Gumalu	372	Latin	0.309	0.092	0.092	0.0	ipa_dense
rosettaproject_gni_swadesh-1	gni	Gooniyandi	253	Latin	0.403	0.104	0.225	0.0	ipa_dense
rosettaproject_gnl_swadesh-1	gnl	Gangulu	260	Latin	0.108	0.021	0.073	0.0	light_ipa
rosettaproject_gnn_swadesh-1	gnn	Gumatj	235	Latin	0.209	0.039	0.153	0.0	light_ipa
rosettaproject_gno_swadesh-1	gno	Gondi, Northern	82	Latin	0.0	0.0	0.235	0.0	latin_diacritic
rosettaproject_gnr_swadesh-1	gnr	Gureng Gureng	425	Latin	0.339	0.077	0.12	0.0	ipa_dense
rosettaproject_gnu_swadesh-1	gnu	Gnau	1	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_goi_swadesh-1	goi	Gobasi	617	Latin	0.292	0.089	0.195	0.001	ipa_dense
rosettaproject_gol_swadesh-1	gol	Gola	79	Latin	0.608	0.156	0.351	0.017	ipa_dense
rosettaproject_gor_swadesh-1	gor	Gorontalo	363	Latin	0.196	0.037	0.117	0.011	light_ipa
rosettaproject_gow_swadesh-1	gow	Gorowa	104	Latin	0.462	0.115	0.288	0.0	ipa_dense
rosettaproject_gpn_swadesh-1	gpn	Taiap	272	Latin	0.14	0.037	0.111	0.003	light_ipa
rosettaproject_gsn_swadesh-1	gsn	Gusan	53	Latin	0.377	0.117	0.143	0.0	ipa_dense
rosettaproject_gsp_swadesh-1	gsp	Wasembo	350	Latin	0.626	0.237	0.243	0.0	ipa_dense
rosettaproject_guf_swadesh-1	guf	Gupapuyngu	487	Latin	0.248	0.046	0.158	0.0	light_ipa
rosettaproject_guj_swadesh-1	guj	Gujarati	71	Latin	0.0	0.0	0.003	0.0	plain_ascii
rosettaproject_guk_swadesh-1	guk	Gumuz	875	Latin	0.629	0.165	0.206	0.027	ipa_dense
rosettaproject_gup_swadesh-1	gup	Gunwinggu	439	Latin	0.526	0.139	0.197	0.0	ipa_dense
rosettaproject_guz_swadesh-1	guz	Ekegusii	79	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_gvf_swadesh-1	gvf	Golin	39	Latin	0.0	0.0	0.272	0.0	latin_diacritic
rosettaproject_gvn_swadesh-1	gvn	Kuku-Yalanji	119	Latin	0.092	0.018	0.147	0.0	light_ipa
rosettaproject_gvr_swadesh-1	gvr	Gurung, Western	113	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_gwd_swadesh-1	gwd	Gawwada	460	Latin	0.607	0.153	0.282	0.035	ipa_dense
rosettaproject_gwu_swadesh-1	gwu	Guwamu	84	Latin	0.214	0.047	0.165	0.0	light_ipa
rosettaproject_gww_swadesh-1	gww	Kwini	18	Latin	0.444	0.124	0.198	0.0	ipa_dense
rosettaproject_gyb_swadesh-1	gyb	Garus	373	Latin	0.298	0.106	0.107	0.004	ipa_dense
rosettaproject_gyy_swadesh-1	gyy	Gunya	276	Latin	0.217	0.049	0.175	0.0	light_ipa
rosettaproject_gza_swadesh-1	gza	Ganza	97	Latin	0.918	0.295	0.352	0.035	ipa_dense
rosettaproject_had_swadesh-1	had	Hatam	581	Latin	0.143	0.042	0.072	0.0	light_ipa
rosettaproject_hae_swadesh-1	hae	Oromo, Eastern	98	Latin	0.857	0.237	0.255	0.037	ipa_dense
rosettaproject_ham_swadesh-1	ham	Hewa	260	Latin	0.154	0.038	0.062	0.0	light_ipa
rosettaproject_har_swadesh-1	har	Harari	248	Latin	0.363	0.11	0.12	0.012	ipa_dense
rosettaproject_hat_swadesh-1	hat	Haitian	208	Latin	0.01	0.003	0.13	0.0	latin_diacritic
rosettaproject_hbn_swadesh-1	hbn	Heiban	447	Latin	0.562	0.198	0.567	0.016	ipa_dense
rosettaproject_hbo_swadesh-1	hbo	Hebrew, Ancient	141	Latin	0.716	0.214	0.296	0.036	ipa_dense
rosettaproject_hdy_swadesh-1	hdy	Hadiyya	141	Latin	0.624	0.162	0.204	0.035	ipa_dense
rosettaproject_hih_swadesh-1	hih	Pamosu	348	Latin	0.336	0.092	0.121	0.0	ipa_dense
rosettaproject_hil_swadesh-1	hil	Hiligaynon	210	Latin	0.0	0.0	0.092	0.0	latin_diacritic
rosettaproject_hin_swadesh-2	hin	Hindi	125	Latin	0.0	0.0	0.027	0.0	latin_diacritic
rosettaproject_hmt_swadesh-1	hmt	Hamtai	120	Latin	0.0	0.0	0.003	0.0	plain_ascii
rosettaproject_hts_swadesh-1	hts	Hadza	262	Latin	0.248	0.051	0.168	0.02	light_ipa
rosettaproject_huf_swadesh-1	huf	Humene	440	Latin	0.316	0.107	0.174	0.009	ipa_dense
rosettaproject_hui_swadesh-1	hui	Huli	469	Latin	0.102	0.02	0.068	0.001	light_ipa
rosettaproject_hun_swadesh-1	hun	Hungarian	221	Latin	0.0	0.0	0.123	0.0	latin_diacritic
rosettaproject_hun_swadesh-2	hun	rosettaproject_hun_swadesh-1	202	Latin	0.0	0.0	0.126	0.0	latin_diacritic
rosettaproject_huz_swadesh-1	huz	Hunzib	114	Latin	0.43	0.149	0.321	0.039	ipa_dense
rosettaproject_hye_swadesh-1	hye	Armenian	81	Latin	0.0	0.0	0.153	0.0	latin_diacritic
rosettaproject_ian_swadesh-1	ian	Iatmul	509	Latin	0.483	0.152	0.247	0.005	ipa_dense
rosettaproject_iar_swadesh-1	iar	Purari	483	Latin	0.031	0.006	0.015	0.0	latin_diacritic
rosettaproject_ibd_swadesh-1	ibd	Iwaidja	342	Latin	0.295	0.049	0.111	0.0	ipa_dense
rosettaproject_ibu_swadesh-1	ibu	Ibu	25	Latin	0.04	0.008	0.008	0.0	plain_ascii
rosettaproject_idi_swadesh-1	idi	Idi	80	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_ihp_swadesh-1	ihp	Iha	767	Latin	0.129	0.022	0.042	0.001	light_ipa
rosettaproject_ikx_swadesh-1	ikx	Ik	110	Latin	0.4	0.123	0.149	0.018	ipa_dense
rosettaproject_imi_swadesh-1	imi	Anamgura	388	Latin	0.265	0.053	0.118	0.0	ipa_dense
rosettaproject_imn_swadesh-1	imn	Imonda	315	Latin	0.27	0.083	0.11	0.0	ipa_dense
rosettaproject_imo_swadesh-1	imo	Imbongu	132	Latin	0.076	0.015	0.046	0.015	light_ipa
rosettaproject_iou_swadesh-1	iou	Tuma-Irumu	50	Latin	0.36	0.11	0.144	0.0	ipa_dense
rosettaproject_ipo_swadesh-1	ipo	Ipiko	252	Latin	0.107	0.025	0.147	0.0	light_ipa
rosettaproject_irh_swadesh-1	irh	Irarutu	177	Latin	0.791	0.283	0.294	0.006	ipa_dense
rosettaproject_irk_swadesh-1	irk	Iraqw	454	Latin	0.37	0.087	0.197	0.011	ipa_dense
rosettaproject_irx_swadesh-1	irx	Kamberau	218	Latin	0.078	0.016	0.049	0.0	light_ipa
rosettaproject_isa_swadesh-1	isa	Isabi	274	Latin	0.19	0.058	0.079	0.0	light_ipa
rosettaproject_isd_swadesh-1	isd	Isnag	184	Latin	0.168	0.031	0.121	0.0	light_ipa
rosettaproject_isl_swadesh-1	isl	Icelandic	177	Latin	0.0	0.0	0.121	0.0	latin_diacritic
rosettaproject_ita_swadesh-1	ita	Italian	281	Latin	0.028	0.005	0.007	0.0	plain_ascii
rosettaproject_itr_swadesh-1	itr	Iteri	122	Latin	0.344	0.1	0.169	0.0	ipa_dense
rosettaproject_itx_swadesh-1	itx	Itik	335	Latin	0.155	0.028	0.033	0.003	light_ipa
rosettaproject_iwm_swadesh-1	iwm	Iwam	160	Latin	0.087	0.028	0.09	0.0	light_ipa
rosettaproject_jac_swadesh-1	jac	Jakalteko	143	Latin	0.0	0.0	0.03	0.0	latin_diacritic
rosettaproject_jae_swadesh-1	jae	Yabem	182	Latin	0.462	0.136	0.252	0.0	ipa_dense
rosettaproject_jao_swadesh-1	jao	Yanyuwa	398	Latin	0.196	0.033	0.07	0.0	light_ipa
rosettaproject_jaq_swadesh-1	jaq	Yaqay	335	Latin	0.015	0.005	0.024	0.0	latin_diacritic
rosettaproject_jav_swadesh-1	jav	Javanese	201	Latin	0.478	0.134	0.207	0.021	ipa_dense
rosettaproject_jay_swadesh-1	jay	Yan-nhangu	264	Latin	0.269	0.051	0.147	0.0	ipa_dense
rosettaproject_jbj_swadesh-1	jbj	Arandai	556	Latin	0.009	0.002	0.041	0.0	latin_diacritic
rosettaproject_jbn_swadesh-1	jbn	Nafusi	99	Latin	0.586	0.16	0.24	0.054	ipa_dense
rosettaproject_jeh_swadesh-1	jeh	Jeh	90	Latin	0.422	0.094	0.112	0.0	ipa_dense
rosettaproject_jei_swadesh-1	jei	Yei	346	Latin	0.017	0.003	0.026	0.0	latin_diacritic
rosettaproject_jel_swadesh-1	jel	Yelmek	503	Latin	0.062	0.014	0.08	0.001	light_ipa
rosettaproject_jet_swadesh-1	jet	Manem	664	Latin	0.009	0.002	0.02	0.0	latin_diacritic
rosettaproject_jig_swadesh-1	jig	Djingili	391	Latin	0.527	0.097	0.234	0.0	ipa_dense
rosettaproject_jil_swadesh-1	jil	Jilim	343	Latin	0.219	0.054	0.088	0.002	light_ipa
rosettaproject_jko_swadesh-1	jko	Kubo	247	Latin	0.283	0.094	0.205	0.0	ipa_dense
rosettaproject_jle_swadesh-1	jle	Ngile	199	Latin	0.824	0.33	0.603	0.009	ipa_dense
rosettaproject_jma_swadesh-1	jma	Dima	62	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_jmi_swadesh-1	jmi	Jimi	50	Latin	0.0	0.0	0.003	0.0	plain_ascii
rosettaproject_jng_swadesh-1	jng	Yangman	240	Latin	0.279	0.045	0.137	0.0	ipa_dense
rosettaproject_jnj_swadesh-1	jnj	Yemsa	97	Latin	0.814	0.224	0.263	0.047	ipa_dense
rosettaproject_jpn_swadesh-1	jpn	Japanese	78	Kana	0.0	0.0	1.0	0.0	native:Kana
rosettaproject_jum_swadesh-1	jum	Jumjum	96	Latin	0.688	0.226	0.405	0.031	ipa_dense
rosettaproject_jun_swadesh-1	jun	Juang	90	Latin	0.1	0.022	0.067	0.0	light_ipa
rosettaproject_kab_swadesh-1	kab	Kabyle	147	Latin	0.463	0.138	0.204	0.0	ipa_dense
rosettaproject_kan_swadesh-1	kan	Kannada	103	Latin	0.0	0.0	0.214	0.008	latin_diacritic
rosettaproject_kap_swadesh-1	kap	Bezhta	117	Latin	0.137	0.035	0.221	0.026	light_ipa
rosettaproject_kbd_swadesh-1	kbd	Kabardian	113	Latin	0.602	0.174	0.345	0.025	ipa_dense
rosettaproject_kbe_swadesh-1	kbe	Kanju	94	Latin	0.191	0.037	0.136	0.0	light_ipa
rosettaproject_kbk_swadesh-1	kbk	Koiari, Grass	240	Latin	0.0	0.0	0.001	0.0	plain_ascii
rosettaproject_kbl_swadesh-1	kbl	Kanembu	120	Latin	0.5	0.13	0.301	0.029	ipa_dense
rosettaproject_kbq_swadesh-1	kbq	Kamano	307	Latin	0.283	0.049	0.099	0.0	ipa_dense
rosettaproject_kbr_swadesh-1	kbr	Kafa	99	Latin	0.879	0.227	0.268	0.058	ipa_dense
rosettaproject_kbv_swadesh-1	kbv	Dera	371	Latin	0.062	0.012	0.034	0.001	light_ipa
rosettaproject_kbx_swadesh-1	kbx	Ap Ma	154	Latin	0.377	0.113	0.172	0.001	ipa_dense
rosettaproject_kcb_swadesh-1	kcb	Kawacha	100	Latin	0.0	0.0	0.06	0.0	latin_diacritic
rosettaproject_kcm_swadesh-1	kcm	Gula	52	Latin	0.269	0.091	0.288	0.0	ipa_dense
rosettaproject_kcn_swadesh-1	kcn	Nubi	94	Latin	0.053	0.011	0.244	0.0	light_ipa
rosettaproject_kco_swadesh-1	kco	Kinalakna	53	Latin	0.038	0.009	0.053	0.0	latin_diacritic
rosettaproject_kcp_swadesh-1	kcp	Kanga	137	Latin	0.745	0.262	0.481	0.017	ipa_dense
rosettaproject_kcr_swadesh-1	kcr	Katla	92	Latin	0.62	0.22	0.319	0.005	ipa_dense
rosettaproject_kct_swadesh-1	kct	Kayan	162	Latin	0.142	0.032	0.059	0.0	light_ipa
rosettaproject_kcx_swadesh-1	kcx	Kachama-Ganjule	96	Latin	0.875	0.202	0.25	0.039	ipa_dense
rosettaproject_kdj_swadesh-1	kdj	Karamojong	1	Latin	0.0	0.0	0.25	0.0	latin_diacritic
rosettaproject_kdw_swadesh-1	kdw	Koneraw	177	Latin	0.006	0.001	0.015	0.0	latin_diacritic
rosettaproject_kec_swadesh-1	kec	Keiga	285	Latin	0.73	0.244	0.464	0.0	ipa_dense
rosettaproject_keg_swadesh-1	keg	Tese	14	Latin	0.286	0.108	0.309	0.0	ipa_dense
rosettaproject_kek_swadesh-1	kek	Q'eqchi'	143	Latin	0.0	0.0	0.03	0.0	latin_diacritic
rosettaproject_kew_swadesh-1	kew	Kewa, West	232	Latin	0.177	0.042	0.052	0.0	light_ipa
rosettaproject_kfa_swadesh-1	kfa	Kodava	83	Latin	0.373	0.1	0.256	0.0	ipa_dense
rosettaproject_kfb_swadesh-1	kfb	Kolami, Northwestern	76	Latin	0.0	0.0	0.155	0.0	latin_diacritic
rosettaproject_kfc_swadesh-1	kfc	Konda-Dora	76	Latin	0.013	0.004	0.176	0.0	latin_diacritic
rosettaproject_kfe_swadesh-1	kfe	Kota	80	Latin	0.0	0.0	0.182	0.0	latin_diacritic
rosettaproject_kfp_swadesh-1	kfp	Korwa	85	Latin	0.224	0.06	0.081	0.0	light_ipa
